Date,Region,Product,Units_Sold,Unit_Price,Revenue,Stock_Level,Warehouse_Capacity
2025-06-21,North,Parachute Coconut Oil,519,181.21,94047.99,213,1661
2025-08-22,West,Parachute Coconut Oil,603,178.21,107460.63,1264,3446
2025-10-21,North,Livon Serum,198,258.8,51242.4,145,3484
2025-08-30,North,Saffola Gold,452,227.83,102979.16,434,2014
2025-04-25,West,Nihar Naturals,409,115.45,47219.05,1246,5151
2025-03-03,East,Nihar Naturals,594,120.51,71582.94,196,1615
2025-02-05,West,Parachute Coconut Oil,556,200.97,111739.32,3087,4568
2025-07-08,North,Set Wet Hair Gel,285,141.65,40370.25,3380,4613
2025-07-08,West,Saffola Gold,685,251.45,172243.25,3821,4564
2025-03-19,South,Nihar Naturals,86,146.85,12629.1,147,1497
2025-01-01,East,Parachute Coconut Oil,465,188.19,87508.35,280,4378
2025-08-03,South,Nihar Naturals,583,147.78,86155.74,830,1983
2025-12-25,West,Nihar Naturals,461,121.75,56126.75,226,4463
2025-11-23,South,Nihar Naturals,483,119.06,57505.98,488,3725
2025-05-30,South,Saffola Gold,347,264.38,91739.86,3804,5193
2025-08-20,East,Livon Serum,358,234.23,83854.34,1598,2230
2025-02-24,South,Parachute Coconut Oil,248,196.81,48808.88,2060,2686
2025-06-07,West,Saffola Gold,554,212.58,117769.32,963,1891
2025-04-21,North,Nihar Naturals,415,116.95,48534.25,354,4312
2025-12-13,North,Set Wet Hair Gel,386,140.51,54236.86,187,2112
2025-02-18,South,Set Wet Hair Gel,553,139.93,77381.29,885,4651
2025-03-08,South,Parachute Coconut Oil,282,214.99,60627.18,870,2924
2025-02-08,East,Nihar Naturals,102,129.64,13223.28,660,2209
2025-03-04,East,Parachute Coconut Oil,123,192.14,23633.22,210,1607
2025-09-12,West,Set Wet Hair Gel,110,139.4,15334.0,1445,3147
2025-05-24,East,Saffola Gold,536,231.79,124239.44,780,1541
2025-07-30,West,Livon Serum,643,265.14,170485.02,597,1759
2025-11-26,South,Set Wet Hair Gel,618,145.5,89919.0,922,4685
2025-09-03,East,Set Wet Hair Gel,637,144.15,91823.55,1533,2809
2025-05-19,West,Livon Serum,264,235.69,62222.16,1842,3845
2025-09-29,West,Parachute Coconut Oil,446,196.51,87643.46,1768,2353
2025-10-01,East,Saffola Gold,137,225.62,30909.94,1208,2298
2025-04-01,South,Livon Serum,322,294.31,94767.82,2315,4702
2025-12-27,North,Nihar Naturals,440,141.88,62427.2,244,3708
2025-03-31,East,Set Wet Hair Gel,582,119.69,69659.58,741,1630
2025-01-01,West,Parachute Coconut Oil,419,203.31,85186.89,763,2225
2025-01-12,North,Livon Serum,231,283.01,65375.31,1382,5156
2025-02-07,East,Nihar Naturals,462,121.39,56082.18,1976,4112
2025-03-22,South,Livon Serum,527,308.31,162479.37,1324,3395
2025-04-25,East,Nihar Naturals,683,124.49,85026.67,267,2949
2025-01-01,South,Saffola Gold,666,237.1,157908.6,952,4557
2025-11-10,East,Saffola Gold,306,219.19,67072.14,616,1826
2025-05-02,North,Livon Serum,435,309.77,134749.95,556,2087
2025-01-06,West,Livon Serum,351,247.63,86918.13,300,4239
2025-01-25,North,Parachute Coconut Oil,475,188.99,89770.25,2580,3118
2025-10-07,East,Set Wet Hair Gel,464,121.78,56505.92,1528,3363
2025-02-07,West,Saffola Gold,114,214.22,24421.08,700,2705
2025-03-29,East,Parachute Coconut Oil,464,159.09,73817.76,497,1707
2025-12-27,West,Livon Serum,111,262.04,29086.44,2511,4077
2025-02-21,North,Saffola Gold,419,217.68,91207.92,1526,2178
2025-12-05,East,Nihar Naturals,368,109.91,40446.88,217,1792
2025-03-20,West,Nihar Naturals,135,118.82,16040.7,433,3151
2025-02-19,South,Set Wet Hair Gel,106,143.9,15253.4,1057,4014
2025-06-07,North,Set Wet Hair Gel,487,148.18,72163.66,1284,5065
2025-04-05,West,Nihar Naturals,459,134.56,61763.04,138,2913
2025-08-27,West,Livon Serum,349,248.71,86799.79,759,2500
2025-12-09,North,Parachute Coconut Oil,432,206.3,89121.6,806,3095
2025-10-02,West,Set Wet Hair Gel,566,146.05,82664.3,586,2365
2025-09-15,North,Set Wet Hair Gel,664,163.82,108776.48,3382,4678
2025-08-18,North,Saffola Gold,257,260.21,66873.97,769,2084
2025-08-05,North,Saffola Gold,160,262.45,41992.0,1177,3183
2025-06-13,East,Nihar Naturals,148,103.97,15387.56,1793,3678
2025-01-07,West,Nihar Naturals,681,123.68,84226.08,200,3118
2025-02-24,North,Saffola Gold,656,250.51,164334.56,3024,4618
2025-05-16,West,Livon Serum,472,276.56,130536.32,826,3743
2025-07-26,East,Saffola Gold,227,218.08,49504.16,911,4188
2025-12-20,East,Set Wet Hair Gel,323,120.06,38779.38,2127,3346
2025-06-05,East,Parachute Coconut Oil,398,164.14,65327.72,1547,3413
2025-08-15,East,Saffola Gold,408,200.05,81620.4,924,3107
2025-04-19,West,Saffola Gold,496,238.75,118420.0,2342,4510
2025-02-03,South,Parachute Coconut Oil,398,209.45,83361.1,390,3052
2025-03-30,North,Nihar Naturals,277,139.63,38677.51,1333,2222
2025-12-27,East,Parachute Coconut Oil,283,163.87,46375.21,1366,4773
2025-07-10,South,Parachute Coconut Oil,580,203.83,118221.4,1511,2127
2025-03-25,East,Livon Serum,344,265.72,91407.68,871,4221
2025-03-25,North,Set Wet Hair Gel,665,159.43,106020.95,1734,2277
2025-05-18,South,Saffola Gold,499,244.33,121920.67,4032,4941
2025-03-09,West,Parachute Coconut Oil,257,189.05,48585.85,135,1434
2025-07-12,West,Livon Serum,437,263.83,115293.71,1798,2293
2025-10-27,West,Nihar Naturals,184,108.22,19912.48,3039,4113
2025-06-02,East,Nihar Naturals,190,115.11,21870.9,2263,2777
2025-12-02,East,Livon Serum,385,231.47,89115.95,865,3518
2025-12-05,West,Nihar Naturals,407,128.42,52266.94,428,4354
2025-08-03,East,Livon Serum,494,243.68,120377.92,665,1544
2025-12-18,South,Livon Serum,627,297.53,186551.31,2070,3348
2025-03-29,East,Nihar Naturals,651,106.63,69416.13,1467,1799
2025-12-02,East,Saffola Gold,171,197.61,33791.31,1044,2314
2025-07-10,East,Set Wet Hair Gel,346,137.71,47647.66,2520,3299
2025-08-30,North,Parachute Coconut Oil,279,191.9,53540.1,2583,4953
2025-03-12,South,Parachute Coconut Oil,285,191.61,54608.85,1257,3732
2025-02-11,South,Livon Serum,579,276.07,159844.53,500,2124
2025-05-21,West,Parachute Coconut Oil,294,196.25,57697.5,556,2090
2025-11-21,West,Saffola Gold,519,220.19,114278.61,757,3355
2025-07-11,South,Nihar Naturals,94,145.54,13680.76,3581,4500
2025-04-26,South,Parachute Coconut Oil,432,190.13,82136.16,669,1820
2025-06-02,North,Parachute Coconut Oil,377,189.82,71562.14,1183,3531
2025-07-03,West,Livon Serum,272,244.72,66563.84,2572,5114
2025-04-25,South,Parachute Coconut Oil,214,185.22,39637.08,1018,1489
2025-11-24,West,Parachute Coconut Oil,341,196.71,67078.11,182,3952
2025-01-25,North,Parachute Coconut Oil,198,187.99,37222.02,247,2957
2025-04-16,South,Set Wet Hair Gel,89,147.46,13123.94,2870,4110
2025-08-03,South,Livon Serum,187,288.63,53973.81,1173,3930
2025-04-12,West,Parachute Coconut Oil,284,197.01,55950.84,3745,4805
2025-03-24,East,Set Wet Hair Gel,120,136.47,16376.4,2891,5128
2025-01-02,South,Livon Serum,93,299.87,27887.91,3271,5114
2025-02-16,South,Set Wet Hair Gel,603,138.92,83768.76,1833,4363
2025-06-01,West,Saffola Gold,350,223.54,78239.0,405,1808
